run_id	n_train	n_dev	n_test
rep01-baseline	5188	1324	710
rep01-adapt01	176	42	267
rep01-adapt02	175	43	267
rep01-adapt03	176	41	267
rep01-adapt04	163	54	267
rep01-adapt05	174	43	267
rep02-baseline	5188	1324	710
rep02-adapt01	176	42	267
rep02-adapt02	175	43	267
rep02-adapt03	176	41	267
rep02-adapt04	163	54	267
rep02-adapt05	174	43	267
rep03-baseline	5189	1324	709
rep03-adapt01	176	42	267
rep03-adapt02	175	43	267
rep03-adapt03	176	41	267
rep03-adapt04	163	54	267
rep03-adapt05	174	43	267
rep04-baseline	5146	1375	701
rep04-adapt01	176	42	267
rep04-adapt02	175	43	267
rep04-adapt03	176	41	267
rep04-adapt04	163	54	267
rep04-adapt05	174	43	267
rep05-baseline	5146	1375	701
rep05-adapt01	176	42	267
rep05-adapt02	175	43	267
rep05-adapt03	176	41	267
rep05-adapt04	163	54	267
rep05-adapt05	174	43	267
